bhsa_node,mother_clause,mother_type,mother_verbtype,mother_rela,mother_domain2,daught_clause,daught_type,daught_verbtype,daught_rela,daught_domain2
320194,וְיָשׁ֣וּבוּ לָ֭עֶרֶב ,WYq0,yqtl,Main,Q,,,,,
320199,וְיָשׁ֣וּבוּ לָ֭עֶרֶב ,WYq0,yqtl,Main,Q,,,,,
320202,כַּלֵּ֪ה ,ZIm0,impv,Main,Q,לֶאֱכֹ֑ל ,InfC,infc,SubAdv,Q
320207,הֵ֭מָּה יְנִיע֣וּן ,XYqt,yqtl,Main,Q,,,,,
320212,הֵ֭מָּה יְנִיע֣וּן ,XYqt,yqtl,Main,Q,וַאֲרַנֵּ֥ן לַבֹּ֗קֶר חַ֫סְדֶּ֥ךָ ,WYq0,yqtl,Main,Q
320215,וַאֲנִ֤י׀ אָשִׁ֣יר עֻזֶּךָ֮ ,WXYq,yqtl,Main,Q,כִּֽי־הָיִ֣יתָ מִשְׂגָּ֣ב לִ֑י ,xQt0,qtl,SubAdv,Q
320232,עֻ֭זִּי ,Voct,Ø,Main,Q,כִּֽי־אֱלֹהִ֥ים מִ֝שְׂגַּבִּ֗י ,NmCl,Ø,SubAdv,Q
320273,זְנַחְתָּ֣נוּ ,ZQt0,qtl,Main,Q,,,,,
320299,נָ֘תַ֤תָּה לִּירֵאֶ֣יךָ נֵּ֭ס ,ZQt0,qtl,Main,Q,,,,,
320309,אֱלֹהִ֤ים׀ דִּבֶּ֥ר בְּקָדְשֹׁ֗ו ,XQtl,qtl,Main,Q,אֲחַלְּקָ֥ה שְׁכֶ֑ם ,ZYq0,yqtl,Main,Q
320310,אֶ֫עְלֹ֥זָה ,ZYq0,yqtl,Main,Q,וְעֵ֖מֶק סֻכֹּ֣ות אֲמַדֵּֽד׃ ,WxY0,yqtl,Main,Q
320315,אֲחַלְּקָ֥ה שְׁכֶ֑ם ,ZYq0,yqtl,Main,Q,,,,,
320332,לִ֤י גִלְעָ֨ד׀ ,NmCl,Ø,Main,Q,עָ֝לַ֗י ,Defc,Ø,Main,Q
320338,אֱ֭לֹהִים ,Voct,Ø,Main,Q,מִ֖י נָחַ֣נִי עַד־אֱדֹֽום׃ ,XQtl,qtl,Main,Q
320352,הֲלֹֽא־אַתָּ֣ה ,Defc,Ø,Main,Q,אֱ֝לֹהִ֗ים ,Voct,Ø,Main,Q
320367,הָֽבָה־לָּ֣נוּ עֶזְרָ֣ת מִצָּ֑ר ,ZIm0,impv,Main,Q,וְ֝ה֗וּא יָב֥וּס צָרֵֽינוּ׃ ,WXYq,yqtl,Main,Q
320371,בֵּֽאלֹהִ֥ים נַעֲשֶׂה־חָ֑יִל ,xYq0,yqtl,Main,Q,,,,,
320390,הַ֝קְשִׁ֗יבָה תְּפִלָּתִֽי׃ ,ZIm0,impv,Main,Q,בַּעֲטֹ֣ף לִבִּ֑י ,InfC,infc,SubAdv,Q
320396,בְּצוּר־,Defc,Ø,Main,Q,,,,,
320398,בְּצוּר־,Defc,Ø,Main,Q,,,,,
320408,בְּצוּר־,Defc,Ø,Main,Q,אֶֽחֱסֶ֨ה בְסֵ֖תֶר כְּנָפֶ֣יךָ ,ZYq0,yqtl,Main,Q
320412,אָג֣וּרָה בְ֭אָהָלְךָ עֹולָמִ֑ים ,ZYq0,yqtl,Main,Q,סֶּֽלָה׃ ,MSyn,Ø,Main,Q
320431,הַ֝קְשִׁ֗יבָה תְּפִלָּתִֽי׃ ,ZIm0,impv,Main,Q,שְׁ֝נֹותָ֗יו כְּמֹו־דֹ֥ר וָדֹֽר׃ ,NmCl,Ø,Main,Q
320437,יָמִ֣ים עַל־יְמֵי־מֶ֣לֶךְ תֹּוסִ֑יף ,xYq0,yqtl,Main,Q,חֶ֥סֶד וֶ֝אֱמֶ֗ת מַ֣ן ,xIm0,impv,Main,Q
320446,חֶ֥סֶד וֶ֝אֱמֶ֗ת מַ֣ן ,xIm0,impv,Main,Q,,,,,
320448,יָמִ֣ים עַל־יְמֵי־מֶ֣לֶךְ תֹּוסִ֑יף ,xYq0,yqtl,Main,Q,לְֽשַׁלְּמִ֥י נְדָרַ֗י יֹ֣ום׀ יֹֽום׃ ,InfC,infc,SubAdv,Q
320479,אַךְ־ה֣וּא צ֭וּרִי וִֽישׁוּעָתִ֑י ,NmCl,Ø,Main,Q,עַד־אָ֤נָה׀ תְּהֹֽותְת֣וּ עַל אִישׁ֮ ,xYq0,yqtl,Main,Q
320483,לֹא־אֶמֹּ֥וט רַבָּֽה׃ ,xYq0,yqtl,Main,Q,תְּרָצְּח֪וּ כֻ֫לְּכֶ֥ם כְּקִ֥יר נָט֑וּי ,ZYqX,yqtl,Main,Q
320486,עַד־אָ֤נָה׀ תְּהֹֽותְת֣וּ עַל אִישׁ֮ ,xYq0,yqtl,Main,Q,גָּ֝דֵ֗ר ,Ellp,Ø,Main,Q
320500,אַ֤ךְ מִשְּׂאֵתֹ֨ו׀ יָעֲצ֣וּ ,xQt0,qtl,Main,Q,בְּפִ֥יו יְבָרֵ֑כוּ ,xYq0,yqtl,Main,Q
320504,יִרְצ֪וּ כָ֫זָ֥ב ,ZYq0,yqtl,Main,Q,וּ֝בְקִרְבָּ֗ם יְקַלְלוּ־,WxY0,yqtl,Main,Q
