eng_TAMsimp,person,TOTAL,xYq0,WxY0,xYqX,XYqt,WXYq,ZYq0,WYq0,ZYqX,WxYX,WYqX,CPen
MOD could ~ MOD must,p1,3,3,0,0,0,0,0,0,0,0,0,0
MOD could ~ MOD might,p1,3,0,0,0,0,0,1,2,0,0,0,0
MOD lest ~ MOD might,p3,3,1,0,2,0,0,0,0,0,0,0,0
MOD would ~ PAST,p1,3,1,1,0,0,0,1,0,0,0,0,0
FUT ~ PRES PART,p2,3,1,0,0,1,1,0,0,0,0,0,0
FUT ~ PRES PERF,p1,3,2,0,0,0,0,1,0,0,0,0,0
FUT ~ PRES PERF,p3,3,0,0,0,2,0,1,0,0,0,0,0
MOD can ~ MOD might,p2,3,2,1,0,0,0,0,0,0,0,0,0
MOD can ~ MOD let,p3,3,0,0,0,1,1,1,0,0,0,0,0
PAST ~ PAST PERF,p1,3,2,0,0,1,0,0,0,0,0,0,0
MOD would ~ TO INF,p3,3,2,0,0,0,0,1,0,0,0,0,0
IMPV ~ MOD is to,p2,3,2,0,1,0,0,0,0,0,0,0,0
MOD lest ~ MOD might,p1,3,3,0,0,0,0,0,0,0,0,0,0
PAST PROG,p3,3,0,0,1,0,2,0,0,0,0,0,0
FUT ~ FUT going-to,p1,3,2,0,0,0,0,0,1,0,0,0,0
MOD lest ~ TO INF,p2,3,3,0,0,0,0,0,0,0,0,0,0
MOD shall ~ PRES PERF,p2,3,1,1,0,0,1,0,0,0,0,0,0
MOD let ~ PRES,p2,3,1,2,0,0,0,0,0,0,0,0,0
MOD let ~ MOD would,p3,3,0,0,0,0,1,0,0,2,0,0,0
MOD may ~ PAST,p3,3,1,0,1,0,0,0,0,0,0,1,0
FUT ~ MOD is to,p3,3,2,0,0,1,0,0,0,0,0,0,0
MOD might ~ MOD should,p3,3,1,0,1,0,0,0,0,0,1,0,0
MOD should ~ PAST,p3,3,1,0,2,0,0,0,0,0,0,0,0
MOD might ~ PAST,p1,3,1,0,0,0,0,0,2,0,0,0,0
?VB ~ PAST,p3,3,1,2,0,0,0,0,0,0,0,0,0
PRES PERF ~ TO INF,p1,3,0,0,0,0,0,0,3,0,0,0,0
MOD need not ~ PRES,p3,2,0,0,1,0,0,1,0,0,0,0,0
MOD may ~ PRES PART,p1,2,1,1,0,0,0,0,0,0,0,0,0
MOD can ~ TO INF,p1,2,1,1,0,0,0,0,0,0,0,0,0
MOD need not ~ MOD shall,p2,2,0,2,0,0,0,0,0,0,0,0,0
MOD can ~ PRES PART,p2,2,2,0,0,0,0,0,0,0,0,0,0
FUT ~ FUT going-to,p2,2,1,0,0,1,0,0,0,0,0,0,0
PAST PERF ~ PRES,p3,2,2,0,0,0,0,0,0,0,0,0,0
MOD lest ~ MOD shall,p1,2,0,1,1,0,0,0,0,0,0,0,0
IMPV ~ MOD must,p3,2,0,0,1,1,0,0,0,0,0,0,0
MOD can ~ MOD should,p2,2,2,0,0,0,0,0,0,0,0,0,0
MOD shall ~ PRES PART,p2,2,2,0,0,0,0,0,0,0,0,0,0
MOD shall ~ PAST,p2,2,1,0,0,0,1,0,0,0,0,0,0
PAST ~ PRES PART,p1,2,2,0,0,0,0,0,0,0,0,0,0
MOD would ~ TO INF,p1,2,0,0,0,1,1,0,0,0,0,0,0
MOD may ~ PRES PERF,p3,2,2,0,0,0,0,0,0,0,0,0,0
MOD might ~ MOD should,p1,2,1,0,0,0,0,1,0,0,0,0,0
IMPV ~ MOD can,p2,2,2,0,0,0,0,0,0,0,0,0,0
