,,xYq0,WxY0,xYqX,XYqt,WXYq,ZYq0,WYq0,WxYX,ZYqX,WYqX,CPen
MOD would ~ PAST,p1,0.0,0.39,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0
MOD lest ~ TO INF,p2,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD should ~ PAST,p3,0.0,0.0,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ PRES PART,p3,-0.53,1.15,0.0,0.0,0.0,0.0,1.01,0.0,0.0,0.0,0.0
?VB ~ PAST,p3,0.0,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD is to,p3,0.25,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD let,p2,0.25,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD lest,p3,-0.53,0.39,0.54,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ MOD might,p3,0.0,0.0,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ MOD might,p1,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ PAST PERF,p1,0.25,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD lest ~ MOD may,p1,0.25,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES ~ PRES PART,p1,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST PROG,p3,-0.53,0.0,0.54,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD must,p1,0.0,0.39,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD might,p2,0.25,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ MOD must,p1,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES PART,p2,0.0,0.0,0.0,0.55,0.59,0.0,0.0,0.0,0.0,0.0,0.0
MOD might ~ PAST,p1,0.0,0.0,0.0,0.0,0.0,0.0,2.49,0.0,0.0,0.0,0.0
MOD can ~ PRES PART,p3,-0.53,0.0,0.0,0.0,1.6,0.0,0.0,1.07,0.0,0.0,0.0
MOD might ~ MOD should,p3,0.0,0.0,0.54,0.0,0.0,0.0,0.0,1.07,0.0,0.0,0.0
MOD shall ~ PRES PERF,p2,0.0,0.39,0.0,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES PERF,p3,-0.53,0.0,0.0,1.53,0.0,0.73,0.0,0.0,0.0,0.0,0.0
PRES PERF ~ TO INF,p1,-0.53,0.0,0.0,0.0,0.0,0.0,4.43,0.0,0.0,0.0,0.0
MOD might ~ TO INF,p3,0.0,0.0,0.0,0.55,0.59,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES PROG,p1,0.25,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0
MOD may ~ PRES,p1,0.25,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ MOD that be,p3,-0.53,0.39,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0
IMPV ~ PAST,p2,0.0,0.39,0.0,0.0,0.0,0.0,1.01,0.0,0.0,0.0,0.0
MOD can ~ TO INF,p3,0.0,0.39,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES PERF,p1,0.25,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0
MOD is to ~ MOD must,p3,-0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ TO INF,p1,-0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD is to,p2,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD let,p1,-0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ PRES PART,p2,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ MOD must,p1,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ MOD should,p3,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD could ~ MOD would,p1,-0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD could,p1,-0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD can ~ MOD should,p2,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD is to ~ PRES PART,p2,-0.27,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0
MOD may ~ PAST,p3,-0.0,0.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMPV ~ MOD can,p2,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ MOD might,p3,-0.27,0.53,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ PRES PERF,p3,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD may ~ TO INF,p1,-0.0,0.0,0.0,0.0,0.0,0.0,1.18,0.0,0.0,0.0,0.0
MOD might ~ MOD should,p1,-0.0,0.0,0.0,0.0,0.0,0.89,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES PART,p1,-0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PROG,p3,-0.0,0.0,0.0,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0
MOD might ~ TO INF,p1,-0.0,0.0,0.0,0.0,0.0,0.0,1.18,0.0,0.0,0.0,0.0
FUT ~ PAST,p2,-0.27,0.53,0.0,0.0,0.0,0.89,0.0,0.0,0.0,0.0,0.0
