eng_TAMsimp,person,xYq0,WxY0,xYqX,XYqt,WXYq,ZYq0,WYq0,ZYqX,WxYX,WYqX,CPen
PAST ~ PAST PERF,p3,1.33,6.0,6.0,inf,2.5,inf,inf,inf,inf,inf,inf
MOD might,p3,2.5,6.0,2.5,6.0,inf,inf,inf,6.0,inf,inf,inf
MOD should ~ PRES,p1,1.33,6.0,inf,inf,6.0,inf,2.5,inf,inf,inf,inf
MOD should,p2,0.75,2.5,inf,inf,inf,6.0,inf,inf,inf,inf,inf
IMPV ~ TO INF,p2,2.5,0.4,inf,inf,inf,inf,inf,inf,inf,inf,inf
IMPV ~ PRES PART,p2,1.33,0.75,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD let ~ MOD must,p3,1.33,2.5,inf,inf,6.0,inf,inf,inf,6.0,inf,inf
FUT ~ IMPV,p3,inf,inf,inf,1.0,inf,5.0,5.0,inf,inf,5.0,inf
MOD shall ~ TO INF,p1,0.2,inf,inf,inf,inf,inf,5.0,inf,inf,inf,inf
MOD let ~ PAST,p3,5.0,inf,5.0,inf,inf,inf,5.0,1.0,inf,inf,inf
MOD can ~ MOD shall,p2,1.0,2.0,inf,inf,5.0,inf,inf,inf,inf,inf,inf
MOD may ~ MOD must,p3,1.0,inf,inf,inf,2.0,inf,5.0,inf,inf,inf,inf
PAST PERF,p3,inf,inf,2.0,inf,2.0,inf,inf,inf,2.0,inf,inf
MOD let ~ MOD should,p3,inf,inf,1.0,5.0,inf,inf,5.0,5.0,inf,inf,inf
MOD must ~ PRES,p3,5.0,5.0,inf,2.0,inf,inf,inf,inf,2.0,inf,inf
FUT going-to ~ MOD shall,p2,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
MOD is to ~ MOD may,p3,0.67,inf,4.0,inf,4.0,inf,inf,inf,inf,inf,inf
MOD let ~ PRES PART,p3,4.0,4.0,inf,4.0,1.5,inf,inf,inf,inf,inf,inf
IMPV ~ PAST,p2,4.0,0.67,inf,inf,inf,inf,4.0,inf,inf,inf,inf
?VB ~ MOD let,p3,4.0,inf,0.67,4.0,inf,inf,inf,inf,inf,inf,inf
PRES PART ~ TO INF,p3,1.5,1.5,inf,inf,inf,4.0,inf,inf,inf,inf,inf
