,,xYq0,WxY0,xYqX,XYqt,WXYq,ZYq0,WYq0,WxYX,ZYqX,WYqX,CPen
MOD might ~ MOD should,p1,1.66,0.0,0.0,0.0,0.0,14.15,0.0,0.0,0.0,0.0,0.0
FUT ~ PRES PART,p1,1.66,5.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PROG,p3,1.66,0.0,0.0,0.0,9.57,0.0,0.0,0.0,0.0,0.0,0.0
MOD might ~ TO INF,p1,1.66,0.0,0.0,0.0,0.0,0.0,29.04,0.0,0.0,0.0,0.0
FUT ~ PAST,p2,0.0,5.17,0.0,0.0,0.0,14.15,0.0,0.0,0.0,0.0,0.0
MOD need not ~ PRES,p3,0.0,0.0,8.26,0.0,0.0,14.15,0.0,0.0,0.0,0.0,0.0
MOD shall ~ MOD should,p2,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ MOD would,p1,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES PART,p1,1.66,5.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ PAST,p2,1.66,0.0,0.0,0.0,9.57,0.0,0.0,0.0,0.0,0.0,0.0
MOD shall ~ PRES PART,p2,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST ~ TO INF,p1,0.0,5.17,0.0,0.0,0.0,14.15,0.0,0.0,0.0,0.0,0.0
MOD should ~ PRES PERF,p2,1.66,0.0,0.0,0.0,0.0,0.0,29.04,0.0,0.0,0.0,0.0
