bhsa_node,lxx,lxx_tense,lxx_voice,lxx_mood,lxx_person,lxx_number,lxx_verse,lxx_tm
297581,ἐμπολήσομεν,future,active,indc,1,pl,AMO 8:5,future indc
297587,ἀνοίξομεν,future,active,indc,1,pl,AMO 8:5,future indc
298184,,,,,,,,
298701,βάλωμεν,aorist,active,subj,1,pl,JON 1:7,aorist subj
298704,ἐπιγνῶμεν,aorist,active,subj,1,pl,JON 1:7,aorist subj
298876,ἀπολώμεθα,present,middle,subj,1,pl,JON 1:14,present subj
299054,θύσω,future,active,indc,1,sg,JON 2:10,future indc
299058,ἀποδώσω,future,active,indc,1,sg,JON 2:10,future indc
299683,κόψεται,future,middle,indc,3,sg,MIC 1:8,future indc
299685,θρηνήσει,future,middle,indc,3,sg,MIC 1:8,future indc
299686,πορεύσεται,future,middle,indc,3,sg,MIC 1:8,future indc
300336,πορευσόμεθα,future,middle,indc,1,pl,MIC 4:2,future indc
300424,συνάξω,future,active,indc,1,sg,MIC 4:6,future indc
300430,εἰσδέξομαι,future,middle,indc,1,sg,MIC 4:6,future indc
301221,ὑπομενῶ,future,active,indc,1,sg,MIC 7:7,future indc
302456,στήσομαι,future,middle,indc,1,sg,HAB 2:1,future indc
302458,ἐπιβήσομαι,future,middle,indc,1,sg,HAB 2:1,future indc
303055,ἀγαλλιάσομαι,future,middle,indc,1,sg,HAB 3:18,future indc
303056,χαρήσομαι,future,passsive,indc,1,sg,HAB 3:18,future indc
304263,ἐνδοξασθήσομαι,future,passsive,indc,1,sg,HAG 1:8,future indc
307408,πορευθῶμεν,aorist,passsive,subj,1,pl,ZEC 8:21,aorist subj
307421,πορεύσομαι,future,middle,indc,1,sg,ZEC 8:21,future indc
307470,πορευσόμεθα,future,middle,indc,1,pl,ZEC 8:23,future indc
307943,σημανῶ,future,active,indc,1,sg,ZEC 10:8,future indc
310303,ἐπιστραφήσομαι,future,passsive,indc,1,sg,MAL 3:7,future indc
310759,διαρρήξωμεν,aorist,active,subj,1,pl,PSA 2:3,aorist subj
310763,ἀπορρίψωμεν,aorist,active,subj,1,pl,PSA 2:3,aorist subj
310791,διαγγέλλων,present,active,ptcp,,sg,PSA 2:7,present ptcp
310806,δώσω,future,active,indc,1,sg,PSA 2:8,future indc
311024,κοιμηθήσομαι,future,passsive,indc,1,sg,PSA 4:9,future indc
311452,ψαλῶ,future,active,indc,1,sg,PSA 7:18,future indc
311572,διηγήσομαι,future,middle,indc,1,sg,PSA 9:2,future indc
311575,εὐφρανθήσομαι,future,passsive,indc,1,sg,PSA 9:3,future indc
311577,ἀγαλλιάσομαι,future,middle,indc,1,sg,PSA 9:3,future indc
