eng_TAMsimp,person,TOTAL,xYq0,WxY0,WXYq,XYqt,ZYq0,xYqX,WYq0,ZYqX,WxYX,WYqX,CPen
MOD must ~ PRES shall,p2,1,0,1,0,0,0,0,0,0,0,0,0
PRES PART ~ PRES PERF,p2,1,1,0,0,0,0,0,0,0,0,0,0
MOD might ~ TO INF,p1,1,0,0,0,0,0,0,1,0,0,0,0
PRES PART,p1,1,0,1,0,0,0,0,0,0,0,0,0
MOD must ~ PRES PART,p2,1,0,0,1,0,0,0,0,0,0,0,0
MOD need not ~ MOD shall,p3,1,0,0,0,0,0,1,0,0,0,0,0
MOD let ~ VB,p1,1,0,0,0,0,0,0,1,0,0,0,0
MOD need not ~ PRES,p3,1,0,0,0,0,0,1,0,0,0,0,0
PAST ~ TO INF,p2,1,0,0,0,0,1,0,0,0,0,0,0
MOD might ~ TO INF,p3,1,0,0,0,1,0,0,0,0,0,0,0
PAST ~ PRES PART,p2,1,0,1,0,0,0,0,0,0,0,0,0
?VB ~ MOD let,p2,1,1,0,0,0,0,0,0,0,0,0,0
MOD quest must,p3,1,0,1,0,0,0,0,0,0,0,0,0
?VB ~ IMPV,p3,1,0,0,0,0,0,0,0,0,1,0,0
MOD must ~ MOD should,p1,1,0,0,0,0,0,0,1,0,0,0,0
?VB,p2,1,1,0,0,0,0,0,0,0,0,0,0
MOD might ~ PRES PERF,p2,1,0,0,0,0,0,0,1,0,0,0,0
MOD may ~ MOD would,p3,1,0,0,0,0,0,1,0,0,0,0,0
?VB ~ PAST,p1,1,1,0,0,0,0,0,0,0,0,0,0
PRES ~ PRES do,p3,1,0,0,1,0,0,0,0,0,0,0,0
FUT PROG ~ PRES,p3,1,0,0,1,0,0,0,0,0,0,0,0
FUT going-to ~ MOD lest,p3,1,0,0,0,0,0,1,0,0,0,0,0
MOD might ~ MOD would,p2,1,0,1,0,0,0,0,0,0,0,0,0
FUT going-to ~ MOD shall,p3,1,0,0,0,0,0,0,1,0,0,0,0
FUT ~ FUT PROG,p3,1,0,0,1,0,0,0,0,0,0,0,0
MOD might ~ MOD would,p1,1,0,0,0,0,0,0,1,0,0,0,0
MOD might ~ MOD should,p1,1,0,0,0,0,1,0,0,0,0,0,0
PRES ~ TO INF,p1,1,1,0,0,0,0,0,0,0,0,0,0
FUT ~ FUT going-to,p3,1,0,0,0,0,0,1,0,0,0,0,0
FUT ~ IMPV,p1,1,0,1,0,0,0,0,0,0,0,0,0
MOD must ~ MOD should,p3,1,0,1,0,0,0,0,0,0,0,0,0
FUT PROG ~ MOD shall,p3,1,0,0,0,1,0,0,0,0,0,0,0
FUT ~ MOD,p3,1,0,0,0,1,0,0,0,0,0,0,0
MOD may ~ PRES PERF,p1,1,0,0,0,0,1,0,0,0,0,0,0
MOD may ~ PRES PART,p1,1,0,1,0,0,0,0,0,0,0,0,0
PRES ~ PRES PROG,p1,1,1,0,0,0,0,0,0,0,0,0,0
MOD let ~ PAST,p2,1,0,1,0,0,0,0,0,0,0,0,0
FUT ~ MOD is to,p3,1,0,0,0,1,0,0,0,0,0,0,0
FUT ~ MOD lest,p1,1,0,1,0,0,0,0,0,0,0,0,0
MOD may ~ PRES,p2,1,1,0,0,0,0,0,0,0,0,0,0
PRES PROG,p3,1,0,0,1,0,0,0,0,0,0,0,0
PRES PERF ~ TO INF,p3,1,0,1,0,0,0,0,0,0,0,0,0
MOD quest must ~ MOD shall,p3,1,0,0,0,0,0,1,0,0,0,0,0
MOD should ~ MOD was to,p1,1,1,0,0,0,0,0,0,0,0,0,0
FUT ~ PRES PERF,p1,1,0,0,0,0,1,0,0,0,0,0,0
MOD can ~ MOD might,p2,1,0,1,0,0,0,0,0,0,0,0,0
MOD VB ~ MOD can,p1,1,1,0,0,0,0,0,0,0,0,0,0
MOD is to ~ PRES,p3,1,0,0,0,0,0,0,1,0,0,0,0
MOD VB ~ MOD shall,p3,1,0,0,1,0,0,0,0,0,0,0,0
MOD is to ~ MOD must,p3,1,0,0,0,1,0,0,0,0,0,0,0
MOD is to ~ MOD must,p2,1,1,0,0,0,0,0,0,0,0,0,0
MOD can ~ MOD could,p1,1,0,1,0,0,0,0,0,0,0,0,0
MOD can ~ MOD could,p3,1,0,0,1,0,0,0,0,0,0,0,0
MOD is to ~ MOD may,p2,1,1,0,0,0,0,0,0,0,0,0,0
MOD is to ~ MOD lest,p3,1,1,0,0,0,0,0,0,0,0,0,0
MOD should ~ TO INF,p1,1,0,0,0,0,0,0,1,0,0,0,0
MOD could ~ TO INF,p3,1,0,0,1,0,0,0,0,0,0,0,0
MOD should ~ PRES PERF,p2,1,0,0,0,0,0,0,1,0,0,0,0
MOD can ~ MOD must,p1,1,0,0,0,0,1,0,0,0,0,0,0
IMPV ~ PRES PERF,p3,1,1,0,0,0,0,0,0,0,0,0,0
MOD should ~ PRES PART,p1,1,0,0,0,0,0,0,1,0,0,0,0
MOD could ~ TO INF,p1,1,0,1,0,0,0,0,0,0,0,0,0
MOD should ~ PAST,p3,1,0,0,0,0,0,1,0,0,0,0,0
MOD can ~ MOD should,p1,1,1,0,0,0,0,0,0,0,0,0,0
MOD can ~ MOD should,p3,1,1,0,0,0,0,0,0,0,0,0,0
MOD could ~ PRES PERF,p3,1,0,0,1,0,0,0,0,0,0,0,0
MOD should ~ MOD would,p2,1,1,0,0,0,0,0,0,0,0,0,0
MOD should ~ MOD would,p1,1,0,0,0,0,1,0,0,0,0,0,0
MOD should ~ MOD was to,p3,1,0,0,1,0,0,0,0,0,0,0,0
MOD can ~ PRES PART,p2,1,1,0,0,0,0,0,0,0,0,0,0
MOD could ~ PAST,p1,1,1,0,0,0,0,0,0,0,0,0,0
MOD could ~ MOD shall,p1,1,0,0,1,0,0,0,0,0,0,0,0
JJ ~ PRES,p3,1,0,0,0,0,0,0,1,0,0,0,0
MOD was to ~ PRES,p2,1,1,0,0,0,0,0,0,0,0,0,0
MOD let ~ PAST,p1,1,0,0,0,0,1,0,0,0,0,0,0
MOD let ~ MOD might,p3,1,0,0,0,0,0,0,1,0,0,0,0
FUT ~ PRES shall,p3,1,0,1,0,0,0,0,0,0,0,0,0
PAST PROG ~ PRES PART,p2,1,0,0,1,0,0,0,0,0,0,0,0
PAST PROG,p3,1,0,0,1,0,0,0,0,0,0,0,0
HAB used to ~ PRES,p3,1,0,0,0,0,0,1,0,0,0,0,0
IMPV,p1,1,0,1,0,0,0,0,0,0,0,0,0
PAST PERF ~ PRES,p3,1,1,0,0,0,0,0,0,0,0,0,0
PAST PERF ~ PRES,p2,1,0,0,0,0,1,0,0,0,0,0,0
IMPV ~ MOD,p3,1,0,0,0,0,0,0,1,0,0,0,0
MOD let ~ MOD must,p2,1,0,1,0,0,0,0,0,0,0,0,0
PAST PERF ~ PRES,p1,1,0,0,0,0,0,0,1,0,0,0,0
MOD let ~ MOD must,p1,1,0,0,0,0,0,0,1,0,0,0,0
IMPV ~ MOD is to,p3,1,0,0,1,0,0,0,0,0,0,0,0
MOD shall ~ PAST,p1,1,1,0,0,0,0,0,0,0,0,0,0
MOD would ~ PAST PERF,p3,1,0,0,1,0,0,0,0,0,0,0,0
MOD let ~ MOD may,p2,1,0,0,0,0,1,0,0,0,0,0,0
PAST PERF,p1,1,0,0,0,0,1,0,0,0,0,0,0
IMPV ~ MOD may,p1,1,0,1,0,0,0,0,0,0,0,0,0
MOD ~ PRES,p3,1,1,0,0,0,0,0,0,0,0,0,0
MOD would ~ PRES PART,p3,1,1,0,0,0,0,0,0,0,0,0,0
IMPV ~ MOD need not,p2,1,1,0,0,0,0,0,0,0,0,0,0
MOD shall ~ PRES PART,p2,1,1,0,0,0,0,0,0,0,0,0,0
MOD lest ~ MOD would,p1,1,0,1,0,0,0,0,0,0,0,0,0
MOD lest ~ MOD shall,p1,1,0,1,0,0,0,0,0,0,0,0,0
MOD lest ~ MOD must,p3,1,0,1,0,0,0,0,0,0,0,0,0
MOD lest ~ MOD might,p3,1,0,0,0,0,0,1,0,0,0,0,0
MOD lest ~ MOD might,p1,1,1,0,0,0,0,0,0,0,0,0,0
MOD must ~ MOD quest must,p3,1,0,0,1,0,0,0,0,0,0,0,0
