eng_TAMsimp,person,xYq0,WxY0,WXYq,XYqt,xYqX,ZYq0,WYq0,WxYX,ZYqX,WYqX,CPen
MOD may,p3,13.2,6.6,9.43,2.75,16.5,33.0,13.2,11.0,66.0,33.0,inf
PAST,p1,4.57,4.92,inf,64.0,inf,3.76,3.37,inf,inf,inf,inf
MOD is to ~ MOD shall,p2,1.68,3.76,16.0,32.0,64.0,64.0,64.0,inf,inf,inf,inf
PAST ~ PRES,p3,3.31,8.83,7.57,5.89,10.6,10.6,17.67,53.0,53.0,inf,inf
FUT ~ MOD shall,p1,1.59,4.25,25.5,inf,51.0,25.5,25.5,inf,inf,inf,inf
MOD would,p3,4.17,25.0,16.67,3.57,10.0,12.5,10.0,16.67,25.0,inf,inf
PRES ~ PRES PART,p3,3.43,4.8,48.0,6.0,12.0,8.0,16.0,24.0,inf,inf,inf
FUT ~ PRES,p1,2.4,6.0,8.0,12.0,inf,6.0,24.0,inf,inf,inf,inf
MOD shall,p1,1.17,12.0,inf,inf,inf,16.0,inf,inf,inf,inf,inf
MOD can,p1,1.61,3.21,45.0,inf,inf,22.5,inf,inf,inf,inf,inf
FUT ~ MOD may,p3,21.5,3.58,10.75,10.75,21.5,10.75,14.33,7.17,14.33,14.33,inf
MOD shall,p2,1.87,4.3,14.33,14.33,14.33,43.0,inf,inf,inf,inf,inf
