bhsa_node,lxx,lxx_tense,lxx_voice,lxx_mood,lxx_person,lxx_number,lxx_tm
5801,ἤτασεν,aorist,active,indc,3,sg,aorist indc
5816,καλέσας,aorist,active,ptcp,,sg,aorist ptcp
5821,εἶπεν,aorist,active,indc,3,sg,aorist indc
5838,ἔλαβον,aorist,active,indc,1,sg,aorist indc
5851,ἐνετείλατο,aorist,middle,indc,3,sg,aorist indc
5856,συμπροπέμψαι,aorist,active,infv,,,aorist infv
5867,ἀνέβη,aorist,active,indc,3,sg,aorist indc
5898,ἐπορεύθη,aorist,passsive,indc,3,sg,aorist indc
5933,ἐπεκαλέσατο,aorist,middle,indc,3,sg,aorist indc
5973,ἐγένετο,aorist,middle,indc,3,sg,aorist indc
5996,εἶπεν,aorist,active,indc,3,sg,aorist indc
6040,ἐπάρας,aorist,active,ptcp,,sg,aorist ptcp
6045,εἶδεν,aorist,active,indc,3,sg,aorist indc
6072,ἐξελέξατο,aorist,middle,indc,3,sg,aorist indc
6081,ἀπῆρεν,aorist,active,indc,3,sg,aorist indc
6086,διεχωρίσθησαν,aorist,passsive,indc,3,pl,aorist indc
6104,ἐσκήνωσεν,aorist,active,indc,3,sg,aorist indc
6194,ἀποσκηνώσας,aorist,active,ptcp,,sg,aorist ptcp
6197,ἐλθὼν,aorist,active,ptcp,,sg,aorist ptcp
6199,κατῴκησεν,aorist,active,indc,3,sg,aorist indc
6207,ᾠκοδόμησεν,aorist,active,indc,3,sg,aorist indc
6213,ἐγένετο,aorist,middle,indc,3,sg,aorist indc
6287,κατέκοψαν,aorist,active,indc,3,pl,aorist indc
6319,ἀναστρέψαντες,aorist,active,ptcp,,pl,aorist ptcp
6321,ἤλθοσαν,aorist,active,indc,3,pl,aorist indc
6327,κατέκοψαν,aorist,active,indc,3,pl,aorist indc
6343,ἐξῆλθεν,aorist,active,indc,3,sg,aorist indc
6361,παρετάξαντο,aorist,middle,indc,3,pl,aorist indc
6397,ἔφυγεν,aorist,active,indc,3,sg,aorist indc
6403,ἐνέπεσαν,aorist,active,indc,3,pl,aorist indc
6411,ἔλαβον,aorist,active,indc,3,pl,aorist indc
6423,ἀπῆλθον,aorist,active,indc,3,pl,aorist indc
6425,ἔλαβον,aorist,active,indc,3,pl,aorist indc
6435,ἀπῴχοντο,imperfect,middle,indc,3,pl,imperfect indc
6442,παραγενόμενος,aorist,middle,ptcp,,sg,aorist ptcp
6446,ἀπήγγειλεν,aorist,active,indc,3,sg,aorist indc
6470,ἀκούσας,aorist,active,ptcp,,sg,aorist ptcp
6476,ἠρίθμησεν,aorist,active,indc,3,sg,aorist indc
6487,κατεδίωξεν,aorist,active,indc,3,sg,aorist indc
6491,ἐπέπεσεν,aorist,active,indc,3,sg,aorist indc
6498,ἐπάταξεν,aorist,active,indc,3,sg,aorist indc
6500,ἐδίωξεν,aorist,active,indc,3,sg,aorist indc
6509,ἀπέστρεψεν,aorist,active,indc,3,sg,aorist indc
6532,ἐξῆλθεν,aorist,active,indc,3,sg,aorist indc
6571,ηὐλόγησεν,aorist,active,indc,3,sg,aorist indc
6573,εἶπεν,aorist,active,indc,3,sg,aorist indc
