eng_TAM,cl_args,qtl,Ø,wayq,yqtl,impv,wqtl,infc,ptcp,infa
PRES..MOD,_LM<N_V,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0
PRES..IND,OSV,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES..MOD,_W_OV,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0
PRES..,_W_SV,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
PAST.PERF.IND,_W__LW_V,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0
PRES.PROG.IND,_W_V,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PROG.IND,RV,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0
PAST.PROG.IND,SVV,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
PAST.PROG.IND,_W_SVV,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,_<L_V,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT..IND,IOV,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,_>CR_AV,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,RSV,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,_>CR_SV,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,_<D_SV,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,_<D_V,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PAST..IND,_>M_AV,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,_>M_OV,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,VSV,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PROG.IND,_KMW_V,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PROG.IND,ISV,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
..,_BLT/_V,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,QSV,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,_>CR_SV,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,_>W_V,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PAST..IND,_C_SV,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,QOV,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,_J<N/_AV,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,OASV,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,_KJ_ASV,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,IIAV,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,_KJ_ISV,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,A_KJ_SV,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,A_KJ_AV,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,AVV,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,ARV,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,_>CR_AV,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT..IND,IV,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,SOV,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PROG.IND,ASV,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
FUT..IND,_KJ_SV,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF_PROG.IND,_KJ_AV,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
FUT..IND,_W_IAV,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,_W__>M_OV,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT..IND,_W_OV,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PRES.PROG.IND,OV,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT..IND,_W_V,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
FUT..IND,_KJ_IV,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,_W_OAV,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PAST..IND,ASOV,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,_W_ASV,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUT..IND,_KJ_ASV,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,_PN_V,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PROG.IND,QSV,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAST..IND,A_KJ_V,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,_KJ__>M_V,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PRES.PERF.IND,_KJ__>M_AV,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
