clause_rela,prec_part,sum
Main,_HN_>LH_,1
Main,_HN_GWR=[_,1
Main,_H=_W_,1
SubAdv,_KJ_>M_CM<[_,1
SubAdv,_KJ_CLX[_,1
Main,_H=_TXT/_Z>T_,1
Main,_H=_PT</_,1
Main,_H=_MWT[_,1
Main,_H=_MN_ZH_,1
Main,_H=_MN_<M_,1
SubAdv,_KJ_>M_L_,1
Main,_HNH_>LH_MN_,1
Main,_HNH_B_,1
SubAdv,_KJ_>M_K_MXR/_,1
Main,_HWJ_,1
SubAdv,_KJ_>M_>L_W_>L_,1
SubAdv,_KJ_>M_>T_,1
Main,_HN_QDM/_,1
SubAdv,_KJ_>M_B_Z>T_,1
Main,_JXDW_K_,1
Main,_JXDW_L_,1
Main,_W_DM<[_,1
Main,_H=_JKL[_,1
SubAdv,_KJ_>Z_<L_,1
Main,_H=_GM_>L_,1
Main,_H=_DRC[_,1
Main,_H=_CWB[_,1
SubAdv,_KJ_ZH_L_,1
Main,_H=_BW>[_,1
Main,_H=_B<D/_,1
Main,_GRC[_,1
Main,_GM_GM_B_,1
SubAdv,_KJ_BW>[_,1
Main,_DBR[_,1
Main,_GM_<D_,1
SubMod,_>CR_GM_,1
Main,_GJL[_,1
Main,_FWF[_,1
Main,_H=_HM_,1
Main,_H=_KMW_,1
Main,_FJM[_,1
SubAdv,_KJ_>SR[_,1
SubAdv,_W_>M_RBH[_,1
Main,_H=_>MNM=_,1
SubMod,_>CR_CM_,1
Main,_H=_<L_KN_,1
Main,_H=_>LH_,1
Main,_H=_>LH_<L_,1
Main,_H=_>L_,1
Main,_H=_>MNM=_>LM=/_,1
Main,_H=_>MR[_,1
Main,_H=_B_HW>_,1
Main,_H=_>P_>MNM=_,1
SubAdv,_KJ_>T==_,1
Main,_H=_LM<N_,1
SubAdv,_KJ_>M_NWS[_,1
SubAdv,_KJ_>M_Y<Q[_,1
Main,_FRV[_,1
SubAdv,_KJ_CB</_,1
Main,_KBD[_,1
Main,_GM_>L_,1
SubAdv,_KJ_B_MWT[_,1
Main,_GM_BRK[_,1
Main,_GM_BJN/_,1
Main,_GM_>T_ZH_,1
Main,_GM_>T_L_,1
SubAdv,_W_>M_R<<[_,1
Main,_W_W_L_,1
Main,_H=_MLK[_,1
Main,_JY>[_,1
SubAdv,_KJ_>K_,1
Main,_KJ_L_,1
Main,_KJ_>T_,1
